Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Included / International,Price / International,Compare At Price / International,Status
9392_diamond_shape_usb_light,"6819  Mix Color Diamond Shape Car Mini USB LED Environmental Lights for Car and Home Decoration Led Light, Mini USB LED Night Lights Car Interior Atmosphere Lamp (Mix -Color)","<style data-mce-fragment=""1"" type=""text/css""><!--
td {border: 1px solid #cccccc;}br {mso-data-placement:same-cell;}
--></style>
<p><strong>6819  Mix Color <span class=""a-size-large product-title-word-break"">Diamond Shape Car Mini USB LED Environmental Lights for Car and Home Decoration Led Light, </span><span class=""a-size-large product-title-word-break"" id=""productTitle"">Mini USB LED Night Lights Car Interior Atmosphere Lamp (Mix -Color)</span></strong></p>
<p><strong>Description:-</strong><br><br></p>
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">Diamond-shaped design for a unique and stylish look in your car's interior.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">High-Grade Material】 Using high-quality raw materials. USB Car Light has no odor and is safe to use. Strong toughness, not easy to break, solid and durable.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">【Take It Anywhere】 The USB LED Night Light Mini can be carried around the house, to school, or on a trip because it is portable and light enough to be held easily in the hand. It can be carried any place if you put it in your bag.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">【Perfect Gift】 Mini USB Interior Car Light can be given as a gift on Father's Day, Halloween, Christmas, and other special occasions to your families, friends, or other loved ones.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">【Unique Decoration】 It will look excellent and represent your good taste if you place it in your home or office. The Mini USB LED Light for Car has a straightforward shape yet a very distinctive design.<br><br></span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">【Versatile Uses】 Mini LED USB Car Interior Light is appropriate for use in automobiles, living rooms, bedrooms, hallways, gardens, offices, and other settings.</span></li>
</ul>
<p><br><strong>Dimension:-<br><br></strong>Volu. Weight (Gm) :- 48<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Product Weight (Gm) :- 6<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Ship Weight (Gm) :- 48<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Length (Cm) :- 9<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Breadth (Cm) :- 7<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Height (Cm) :- 3<br data-mce-fragment=""1""><strong><br></strong></p>",your brand,,Home Decor,"Home Décor, plastic packing",TRUE,Title,Default Title,,,,,6819_diamond_shape_usb_light,48,shopify,6000,deny,manual,54,99,TRUE,TRUE,6819_diamond_shape_usb_light,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/02_2774f461-b597-4e52-b6aa-e96ac968756f.jpg?v=1695711713,1,,FALSE,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
9392_diamond_shape_usb_light,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/6819.jpg?v=1695711713,2,,,,,,,,,,,,,,,,,,,,,,,,
9392_diamond_shape_usb_light,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/04_ae7a9ecd-292e-4a91-987b-d74950dfcd4a.jpg?v=1695711713,3,,,,,,,,,,,,,,,,,,,,,,,,
9392_diamond_shape_usb_light,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/03_53889b95-2f97-477f-a9e0-01f4fa812ff8.jpg?v=1695711713,4,,,,,,,,,,,,,,,,,,,,,,,,
9392_diamond_shape_usb_light,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/05_fdbc2c05-21c1-4c6f-9e68-492b4de7749c.jpg?v=1695711713,5,,,,,,,,,,,,,,,,,,,,,,,,
9392_diamond_shape_usb_light,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/06_36b92532-8c58-45a1-a2c5-8ed56923103c.jpg?v=1695711713,6,,,,,,,,,,,,,,,,,,,,,,,,
9392_diamond_shape_usb_light,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/3a108fb5-c384-485b-b877-775bbc552f64.jpg?v=1695711713,7,,,,,,,,,,,,,,,,,,,,,,,,
5209-silicon-micky-plate-and-1-spoon-1-fork-card-packing-1-pc-product-1,5209 Silicon Micky Plate And 1 Spoon & 1 Fork Card Packing ( 1 Pc Product),"<strong>5209 Silicon Micky Plate And 1 Spoon &amp; 1 Fork Card Packing ( 1 Pc Product )<br><br>Description :-<br><br></strong>This Disney set features a 2 in 1 sectioned plate and silicone place-mat with a stainless steel fork and spoon.<br data-mce-fragment=""1""><br data-mce-fragment=""1""> Conveniently sized fork and spoon with easy to grip durable plastic handles.<br data-mce-fragment=""1""><br data-mce-fragment=""1""> Keeps the place-mat in place while the toddler enjoys the meal.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Easy To Clean Dishwasher safe utensils are easy to clean after mealtimes.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Great for babies and children to have fun while eating but without the mess.<br data-mce-fragment=""1""><br><strong><br>Dimension :- <br><br> </strong>Volu. Weight (Gm) :- 369<br data-mce-fragment=""1""> <br data-mce-fragment=""1""> Product Weight (Gm) :- 128<br data-mce-fragment=""1""> <br data-mce-fragment=""1""> Ship Weight (Gm) :- 369<br data-mce-fragment=""1""> <br data-mce-fragment=""1""> Length (Cm) :- 23<br data-mce-fragment=""1""> <br data-mce-fragment=""1""> Breadth (Cm) :- 26<br data-mce-fragment=""1""> <br data-mce-fragment=""1""> Height (Cm) :- 3<strong><br data-mce-fragment=""1""></strong>",your brand,,Kitchen,"Card Packing, dish",TRUE,Title,Default Title,,,,,5209_silicon_micky_plate,369,shopify,329,deny,manual,208,199,TRUE,TRUE,5209_silicon_micky_plate,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/03_36dbcac0-5634-48c2-9ca1-e1dbe64422fb.jpg?v=1695708831,1,,FALSE,,,,,,,,,,,,,,,g,,,TRUE,TRUE,,,active
5209-silicon-micky-plate-and-1-spoon-1-fork-card-packing-1-pc-product-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/01_e4b912f5-a765-4093-956b-418e3326a204.jpg?v=1695708831,2,,,,,,,,,,,,,,,,,,,,,,,,
5209-silicon-micky-plate-and-1-spoon-1-fork-card-packing-1-pc-product-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/02_333f896f-7ab5-4d2f-bda0-cbd2f1d1716a.jpg?v=1695708831,3,,,,,,,,,,,,,,,,,,,,,,,,
5209-silicon-micky-plate-and-1-spoon-1-fork-card-packing-1-pc-product-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/04_1e16657f-a489-45ce-bc11-7adff867904d.jpg?v=1695708832,4,,,,,,,,,,,,,,,,,,,,,,,,
